date,gasprijs
2021-10-05,49.5
2021-10-06,42.713
2021-10-07,39.682
2021-10-08,37.819
2021-10-11,38.878
2021-10-12,40.211
2021-10-13,40.017
2021-10-14,43.43
2021-10-15,44.0
2021-10-18,44.608
2021-10-19,44.396
2021-10-20,44.862
2021-10-21,43.469
2021-10-22,43.553
2021-10-25,44.475
2021-10-26,45.001
2021-10-27,44.966
2021-10-28,42.642
2021-10-29,40.032
2021-11-01,38.427
2021-11-02,39.833
2021-11-03,41.811
2021-11-04,41.083
2021-11-05,40.135
2021-11-08,41.602
2021-11-09,39.127
2021-11-10,39.504
2021-11-11,39.753
2021-11-12,39.709
2021-11-15,40.229
2021-11-16,42.949
2021-11-17,42.532
2021-11-18,43.975
2021-11-19,41.836
2021-11-22,41.509
2021-11-23,43.232
2021-11-24,44.416
2021-11-25,45.102
2021-11-26,42.9
2021-11-29,44.003
2021-11-30,43.778
2021-12-01,44.367
2021-12-02,45.158
2021-12-03,46.863
2021-12-06,49.832
2021-12-07,56.343
2021-12-08,64.63
2021-12-09,62.354
2021-12-10,68.767
2021-12-13,72.232
2021-12-14,72.183
2021-12-15,69.929
2021-12-16,77.19
2021-12-17,81.044
2021-12-20,91.64
2021-12-21,125.946
2021-12-22,130.492
2021-12-23,106.984
2021-12-24,95.567
2021-12-27,93.843
2021-12-28,92.917
2021-12-29,88.308
2021-12-30,77.691
2021-12-31,64.949
2022-01-03,73.379
2022-01-04,80.853
2022-01-05,83.077
2022-01-06,86.342
2022-01-07,79.728
2022-01-10,77.871
2022-01-11,71.806
2022-01-12,64.823
2022-01-13,64.95
2022-01-14,67.512
2022-01-17,64.282
2022-01-18,64.673
2022-01-19,61.86
2022-01-20,64.429
2022-01-21,68.512
2022-01-24,80.486
2022-01-25,83.1
2022-01-26,85.258
2022-01-27,88.126
2022-01-28,88.043
2022-01-31,81.202
2022-02-01,72.56
2022-02-02,74.766
2022-02-03,77.819
2022-02-04,80.932
2022-02-07,78.489
2022-02-08,76.429
2022-02-09,72.947
2022-02-10,73.161
2022-02-11,76.63
2022-02-14,79.52
2022-02-15,69.946
2022-02-16,69.06
2022-02-17,73.989
2022-02-18,72.759
2022-02-21,72.001
2022-02-22,79.57
2022-02-23,88.215
2022-02-24,128.567
2022-02-25,90.817
2022-02-28,94.916
2022-03-01,117.326
2022-03-02,154.456
2022-03-03,145.869
2022-03-04,144.991
2022-03-07,171.752
2022-03-08,163.573
2022-03-09,130.409
2022-03-10,108.788
2022-03-11,118.588
2022-03-14,103.947
2022-03-15,103.208
2022-03-16,93.114
2022-03-17,98.717
2022-03-18,98.728
2022-03-21,91.756
2022-03-22,94.779
2022-03-23,111.594
2022-03-24,104.895
2022-03-25,94.588
2022-03-28,96.694
2022-03-29,101.851
2022-03-30,110.368
2022-03-31,116.542
2022-04-01,104.144
2022-04-04,102.747
2022-04-05,105.98
2022-04-06,105.458
2022-04-07,103.081
2022-04-08,102.564
2022-04-11,99.57
2022-04-12,101.598
2022-04-13,103.801
2022-04-14,93.955
2022-04-18,93.955
2022-04-19,93.183
2022-04-20,93.504
2022-04-21,98.701
2022-04-22,93.693
2022-04-25,90.943
2022-04-26,100.576
2022-04-27,104.671
2022-04-28,97.183
2022-04-29,95.238
2022-05-02,92.175
2022-05-03,95.699
2022-05-04,100.614
2022-05-05,102.67
2022-05-06,98.426
2022-05-09,93.141
2022-05-10,97.27
2022-05-11,94.303
2022-05-12,106.224
2022-05-13,98.767
2022-05-16,94.502
2022-05-17,98.868
